"Nom de l'opérateur";"Millésime des données";"Filière";"CODE_REGION";"Catégorie de la consommation";"Code NAF à 2 positions du secteur (NAF rev2 2008)";"Code du grand secteur";"Consommation (en MWh)";"Nombre de points de livraison";"Indice de qualité des données (en pourcent)";"Thermosensibilité dans le résidentiel (en kWh/degré-jour)";"Part de la consommation thermosensible dans le résidentiel (en pourcent)";"Nombre d'IRIS masqués"
"texte";"annee";"texte";"entier";"texte";"naf_division";"texte";"texte";"entier";"texte";"nombre";"nombre";"entier"
"n/a";"n/a";"n/a";"s/u";"n/a";"n/a";"n/a";"MWh";"s/u";"n/a";"s/u";"s/u";"s/u"
"OPERATEUR";"ANNEE";"FILIERE";"CODE_REGION";"CODE_CATEGORIE_CONSOMMATION";"CODE_SECTEUR_NAF2";"CODE_GRAND_SECTEUR";"CONSO";"PDL";"INDQUAL";"THERMOR";"PART";"NB_IRIS_MASQUES"
"GRDF";"2018";"G";"11";"PRO";;"I";"366155,00514";"7001";;;;
"GRDF";"2018";"G";"11";"ENT";;"I";"895212,15944";"236";;;;
"GRDF";"2018";"G";"11";"PRO";;"T";"3275391,79607";"66728";;;;
"GRDF";"2018";"G";"11";"ENT";;"X";"30546,79975";"619";;;;
"GRDF";"2018";"G";"11";"RES";;"R";"38165686,18311";"2486083";;;;
"GRDF";"2018";"G";"11";"PRO";;"A";"9895,28477";"189";;;;
"GRDF";"2018";"G";"11";"ENT";;"A";"11075,25213";"10";;;;
"GRDF";"2018";"G";"11";"ENT";"65";"T";"29643,83278";"48";;;;
"GRDF";"2018";"G";"11";"ENT";"85";"T";"362797,51578";"429";;;;
"GRDF";"2018";"G";"11";"ENT";"42";"I";"23624,41423";"22";;;;
"GRDF";"2018";"G";"11";"ENT";"55";"T";"419265,76745";"679";;;;
"GRDF";"2018";"G";"11";"ENT";"24";"I";"46129,77852";"29";;;;
"GRDF";"2018";"G";"11";"ENT";"56";"T";"103102,55432";"260";;;;
"GRDF";"2018";"G";"11";"ENT";"51";"T";"23904,22582";"16";;;;
"GRDF";"2018";"G";"11";"ENT";"29";"I";"20397,08356";"25";;;;
"GRDF";"2018";"G";"11";"ENT";"61";"T";"35353,21497";"77";;;;
"GRDF";"2018";"G";"11";"ENT";"31";"I";"5573,90176";"8";;;;
"GRDF";"2018";"G";"11";"ENT";"63";"T";"3720,50322";"7";;;;
"GRDF";"2018";"G";"11";"ENT";"80";"T";"3507,48348";"10";;;;
"GRDF";"2018";"G";"11";"ENT";"13";"I";"30437,10681";"3";;;;
"GRDF";"2018";"G";"11";"ENT";"21";"I";"68330,79554";"25";;;;
"GRDF";"2018";"G";"11";"ENT";"19";"I";"29263,30362";"3";;;;
"GRDF";"2018";"G";"11";"ENT";"96";"T";"38739,54014";"36";;;;
"GRDF";"2018";"G";"11";"ENT";"14";"I";"2097,45719";"8";;;;
"GRDF";"2018";"G";"11";"ENT";"60";"T";"147,87859";"1";;;;
"GRDF";"2018";"G";"11";"ENT";"78";"T";"134,61405";"1";;;;
"GRDF";"2018";"G";"11";"ENT";"08";"I";"36868,59517";"4";;;;
"GRDF";"2018";"G";"11";"ENT";"88";"T";"115953,18477";"188";;;;
"GRDF";"2018";"G";"11";"ENT";"17";"I";"31649,06496";"25";;;;
